ID,Data,Valor,Descrição,Categoria
20250402001,2025-04-02,-54.0,PAY   MANIA 02 04,Alimentação
20250402002,2025-04-02,-179.7,PIX QRS IFOOD COM A02 04,Alimentação
20250402003,2025-04-02,-245.12,PIX QRS PIX MARKETP02 04,Mercado
20250402004,2025-04-02,0.02,REND PAGO APLIC AUT MAIS,Receitas
20250403001,2025-04-03,-33.6,ELCSS GREEN FRUIT,Alimentação
20250404001,2025-04-04,-120.0,PAY   POSTO 04 04,Alimentação
20250404002,2025-04-04,-200.0,PIX TRANSF  LEILA R04 04,Transferências para terceiros
20250407001,2025-04-07,-1982.63,MOBILEPAG TIT 0375802200,Telefone
20250407002,2025-04-07,-2522.52,MOBILEPAG TIT 0375802200,Telefone
20250407003,2025-04-07,-100.0,PIX TRANSF  MARLI D06 04,Transferências para terceiros
20250407004,2025-04-07,-492.33,PAY   GREEN 06 04,Alimentação
20250407005,2025-04-07,-54.0,PAY   MANIA 07 04,Alimentação
20250407006,2025-04-07,0.04,REND PAGO APLIC AUT MAIS,Receitas
20250407007,2025-04-07,-5.07,SEGURO CARTAO ITAU,Compras
20250408005,2025-04-08,0.01,REND PAGO APLIC AUT MAIS,Receitas
20250408003,2025-04-08,-200.0,PIX TRANSF  MARLI D08 04,Transferências para terceiros
20250408004,2025-04-08,-60.51,PAY   PADAR 08 04,Alimentação
20250408001,2025-04-08,-116.41,ELECTRONDROGARIA PO,Compras
20250408002,2025-04-08,-71.85,PAY   GREEN 08 04,Alimentação
20250409001,2025-04-09,-58.81,PIX QRS BOACOMPRA C09 04,Compras
20250409002,2025-04-09,-1494.46,ITAU VISA     2002 2400,Receitas
20250409003,2025-04-09,0.02,REND PAGO APLIC AUT MAIS,Receitas
20250410004,2025-04-10,-400.23,PAG BOLETO  PAG TIT BANC,Transferências para terceiros
20250410001,2025-04-10,-2853.24,PAG BOLETO  PAG TIT BANC,Transferências para terceiros
20250410002,2025-04-10,-126.5,INT  CLARO S A 338000002,Telefone
20250410003,2025-04-10,-151.49,INT  AMPLA 3000656610320,Telefone
20250410005,2025-04-10,-64.9,INT  CLARO S A 338000002,Telefone
20250410006,2025-04-10,-159.91,INT  CLARO S A 176446873,Telefone
20250410007,2025-04-10,0.07,REND PAGO APLIC AUT MAIS,Receitas
20250411001,2025-04-11,-132.09,PIX QRS PIX MARKETP11 04,Mercado
20250411002,2025-04-11,-219.49,PAY   GREEN 11 04,Alimentação
20250411003,2025-04-11,0.01,REND PAGO APLIC AUT MAIS,Receitas
20250414005,2025-04-14,66.0,COR RENDIMENTO HGLG11,Investimento
20250414007,2025-04-14,0.01,REND PAGO APLIC AUT MAIS,Receitas
20250414004,2025-04-14,55.8,COR RENDIMENTO TRXF11,Receitas
20250414006,2025-04-14,-34.88,PAY   RAIA1 14 04,Alimentação
20250414002,2025-04-14,-17.97,PAY   DROGA 12 04,Saúde
20250414003,2025-04-14,-95.16,PAY   AUTO  12 04,Transporte
20250414001,2025-04-14,-100.0,PIX TRANSF  MARLI D12 04,Transferências para terceiros
20250415001,2025-04-15,-80.8,ELECTRONPET H H F,Compras
20250415002,2025-04-15,-109.9,ELECTRONGREEN PET,Alimentação
20250415003,2025-04-15,-200.0,PIX TRANSF  MARLI D15 04,Transferências para terceiros
20250415004,2025-04-15,0.02,REND PAGO APLIC AUT MAIS,Receitas
20250416002,2025-04-16,0.02,REND PAGO APLIC AUT MAIS,Receitas
20250416001,2025-04-16,-429.86,PAY   GREEN 16 04,Alimentação
20250417001,2025-04-17,43.2,COR RENDIMENTO VGIP11,Receitas
20250417002,2025-04-17,1500.0,TBI 6370 08254 4 500,Transferências para terceiros
20250417003,2025-04-17,-63.28,PAY   GREEN 17 04,Alimentação
20250417004,2025-04-17,-133.0,PIX TRANSF  COMECE 17 04,Transferências para terceiros
20250417005,2025-04-17,-75.23,PAY   GREEN 17 04,Alimentação
20250422009,2025-04-22,-200.0,PIX TRANSF  MARLI D22 04,Transferências para terceiros
20250422008,2025-04-22,-44.9,ON    NETFLIX COM 22 04,Compras
20250422007,2025-04-22,-207.86,PAY   GREEN 21 04,Alimentação
20250422005,2025-04-22,-100.0,PIX TRANSF  MARLI D19 04,Transferências para terceiros
20250422006,2025-04-22,-129.15,PAY   GREEN 20 04,Alimentação
20250422003,2025-04-22,-21.49,ELCSS RAIA1459,Telefone
20250422002,2025-04-22,-72.38,PAY   CENTR 18 04,Telefone
20250422001,2025-04-22,-81.43,ELECTRONDROGARIA PO,Saúde
20250422004,2025-04-22,-63.0,ELCSS BANCA SANTA,Transferências para terceiros
20250424007,2025-04-24,-78.99,PAY   GREEN 24 04,Alimentação
